"Type","Status","Last Updated","Nationality","2017","2018","2019","2020","2021","2022","2023","2024"
"short term visa applications","Refused","29/02/2024","Kenya","56","62","51","21","19","114","144","30"
"short term visa applications","Refused","29/02/2024","Korea (the Democratic People's Republic of) North Korea","0","0","0","0","0","0","0","0"
"short term visa applications","Refused","29/02/2024","Kosovo","16","22","16","6","*","5","9","4"
"short term visa applications","Refused","29/02/2024","Kuwait","37","61","171","39","20","49","42","5"
"short term visa applications","Refused","29/02/2024","Kyrgyzstan","38","9","17","*","0","4","*","0"
"short term visa applications","Refused","29/02/2024","Lao People's Democratic Republic (the)","*","*","*","0","0","0","*","*"
"short term visa applications","Refused","29/02/2024","Lebanon","80","61","46","28","12","63","44","5"
"short term visa applications","Refused","29/02/2024","Liberia","8","6","12","0","0","6","21","0"
"short term visa applications","Refused","29/02/2024","Libya","37","48","47","17","*","14","19","0"
"short term visa applications","Refused","29/02/2024","Madagascar","*","*","4","0","0","*","*","0"
"short term visa applications","Refused","29/02/2024","Malawi","88","117","61","12","8","185","179","4"
"short term visa applications","Refused","29/02/2024","Mali","4","*","*","*","0","*","9","*"
"short term visa applications","Refused","29/02/2024","Marshall Islands (the)","0","0","0","0","0","0","0","0"
"short term visa applications","Refused","29/02/2024","Mauritania","0","*","0","0","0","*","*","0"
"short term visa applications","Refused","29/02/2024","Mauritius","81","21","34","6","7","21","13","*"
"short term visa applications","Refused","29/02/2024","Micronesia (Federated States of)","0","0","*","0","0","0","0","0"
"short term visa applications","Refused","29/02/2024","Moldova (the Republic of)","38","32","94","15","19","93","34","7"
"short term visa applications","Refused","29/02/2024","Mongolia","77","103","114","11","4","48","67","8"
"short term visa applications","Refused","29/02/2024","Montenegro","*","*","*","0","0","0","0","0"
"short term visa applications","Refused","29/02/2024","Morocco","114","89","212","67","24","79","91","16"
"short term visa applications","Refused","29/02/2024","Mozambique","6","9","*","*","0","*","*","*"
"short term visa applications","Refused","29/02/2024","Myanmar","*","8","11","0","0","15","7","*"
"short term visa applications","Refused","29/02/2024","Namibia","*","*","*","0","0","4","8","*"
"short term visa applications","Refused","29/02/2024","Nepal","72","53","68","15","16","46","88","10"
"short term visa applications","Refused","29/02/2024","Niger (the)","*","0","*","0","0","*","*","0"
"short term visa applications","Refused","29/02/2024","Nigeria","2265","2346","3157","754","353","3065","2323","382"
"short term visa applications","Refused","29/02/2024","North Macedonia","9","7","9","0","6","15","*","*"
"short term visa applications","Refused","29/02/2024","Oman","*","*","21","*","8","10","13","*"
"short term visa applications","Refused","29/02/2024","Pakistan","2748","3742","1297","290","207","1533","2668","871"
